Mass,Position,Velocity,Acceleration
25735.0,"[-5314.690921032491, 4098.739379517036, 0.0]","[-6.893681194531796, -1.3243895828956607, 0.0]","[0.0070126275870525, -0.005416953484544173, 0.0]"
25735.0,"[-5321.5846022270225, 4097.41498993414, 0.0]","[-6.886674055824035, -1.329793529483, 0.0]","[0.007007138707760475, -0.005403946587339186, 0.0]"
25735.0,"[-5328.471276282847, 4096.085196404657, 0.0]","[-6.879672397790388, -1.3351845119216443, 0.0]","[0.007001658033646665, -0.005390982438644448, 0.0]"
25735.0,"[-5335.350948680637, 4094.750011892735, 0.0]","[-6.872676212221129, -1.3405625727686337, 0.0]","[0.006996185569259937, -0.005378060846989337, 0.0]"
25735.0,"[-5342.223624892858, 4093.4094493199664, 0.0]","[-6.865685490902202, -1.3459277543905888, 0.0]","[0.0069907213189274175, -0.00536518162195517, 0.0]"
25735.0,"[-5349.089310383761, 4092.0635215655757, 0.0]","[-6.858700225615444, -1.351280098964757, 0.0]","[0.006985265286757238, -0.005352344574168377, 0.0]"
25735.0,"[-5355.948010609376, 4090.712241466611, 0.0]","[-6.851720408138803, -1.3566196484800508, 0.0]","[0.00697981747664122, -0.005339549515293743, 0.0]"
25735.0,"[-5362.799731017515, 4089.355621818131, 0.0]","[-6.8447460302465455, -1.3619464447380785, 0.0]","[0.006974377892257546, -0.0053267962580276895, 0.0]"
25735.0,"[-5369.644477047762, 4087.993675373393, 0.0]","[-6.837777083709472, -1.36726052935417, 0.0]","[0.006968946537073405, -0.005314084616091603, 0.0]"
25735.0,"[-5376.482254131472, 4086.626414844039, 0.0]","[-6.830813560295125, -1.3725619437583951, 0.0]","[0.00696352341434759, -0.005301414404225228, 0.0]"
25735.0,"[-5383.313067691766, 4085.253852900281, 0.0]","[-6.823855451767992, -1.3778507291965751, 0.0]","[0.006958108527133096, -0.005288785438180096, 0.0]"
25735.0,"[-5390.136923143535, 4083.876002171084, 0.0]","[-6.816902749889712, -1.3831269267312882, 0.0]","[0.006952701878279651, -0.005276197534713006, 0.0]"
25735.0,"[-5396.953825893424, 4082.492875244353, 0.0]","[-6.809955446419275, -1.3883905772428677, 0.0]","[0.006947303470436248, -0.0052636505115795495, 0.0]"
25735.0,"[-5403.763781339843, 4081.1044846671102, 0.0]","[-6.803013533113222, -1.3936417214303953, 0.0]","[0.00694191330605365, -0.005251144187527697, 0.0]"
25735.0,"[-5410.566794872956, 4079.71084294568, 0.0]","[-6.796077001725835, -1.3988803998126866, 0.0]","[0.006936531387386839, -0.0052386783822914035, 0.0]"
25735.0,"[-5417.362871874682, 4078.311962545867, 0.0]","[-6.7891458440093375, -1.404106652729271, 0.0]","[0.006931157716497453, -0.0052262529165842874, 0.0]"
25735.0,"[-5424.152017718691, 4076.907855893138, 0.0]","[-6.782220051714082, -1.4093205203413643, 0.0]","[0.006925792295256221, -0.005213867612093349, 0.0]"
25735.0,"[-5430.934237770405, 4075.4985353727966, 0.0]","[-6.775299616588736, -1.414522042632837, 0.0]","[0.006920435125345335, -0.005201522291472732, 0.0]"
