Mass,Position,Velocity,Acceleration
25735.0,"[-8437.914513267211, 2563.0777309249147, 0.0]","[-3.2790762317476214, -3.188960186542996, 0.0]","[0.004906095638691396, -0.0014926869973826838, 0.0]"
25735.0,"[-8441.193589498958, 2559.888770738372, 0.0]","[-3.274171923100917, -3.190449896492301, 0.0]","[0.004904308646704255, -0.0014897099493051404, 0.0]"
25735.0,"[-8444.46776142206, 2556.6983208418796, 0.0]","[-3.269269397940761, -3.191936634119732, 0.0]","[0.004902525160155959, -0.0014867376274311928, 0.0]"
25735.0,"[-8447.73703082, 2553.5063842077598, 0.0]","[-3.2643686527667644, -3.1934204041376657, 0.0]","[0.004900745173996716, -0.0014837700179337523, 0.0]"
25735.0,"[-8451.001399472767, 2550.312963803622, 0.0]","[-3.2594696840835757, -3.194901211244695, 0.0]","[0.004898968683188781, -0.0014808071070290384, 0.0]"
25735.0,"[-8454.260869156851, 2547.1180625923776, 0.0]","[-3.254572488400869, -3.1963790601256714, 0.0]","[0.004897195682706456, -0.0014778488809764085, 0.0]"
25735.0,"[-8457.515441645251, 2543.921683532252, 0.0]","[-3.249677062233333, -3.1978539554517496, 0.0]","[0.004895426167536049, -0.0014748953260781748, 0.0]"
25735.0,"[-8460.765118707484, 2540.7238295768, 0.0]","[-3.244783402100657, -3.199325901880429, 0.0]","[0.004893660132675869, -0.001471946428679438, 0.0]"
25735.0,"[-8464.009902109585, 2537.5245036749197, 0.0]","[-3.239891504527521, -3.2007949040555967, 0.0]","[0.004891897573136197, -0.0014690021751679091, 0.0]"
25735.0,"[-8467.249793614112, 2534.323708770864, 0.0]","[-3.235001366043582, -3.2022609666075703, 0.0]","[0.004890138483939255, -0.001466062551973734, 0.0]"
25735.0,"[-8470.484794980155, 2531.1214478042566, 0.0]","[-3.2301129831834627, -3.2037240941531397, 0.0]","[0.004888382860119201, -0.0014631275455693278, 0.0]"
25735.0,"[-8473.714907963338, 2527.9177237101035, 0.0]","[-3.225226352486741, -3.205184291295609, 0.0]","[0.004886630696722089, -0.0014601971424691973, 0.0]"
25735.0,"[-8476.940134315824, 2524.712539418808, 0.0]","[-3.220341470497935, -3.2066415626248386, 0.0]","[0.004884881988805866, -0.0014572713292297756, 0.0]"
25735.0,"[-8480.160475786322, 2521.505897856183, 0.0]","[-3.215458333766495, -3.2080959127172877, 0.0]","[0.004883136731440332, -0.0014543500924492478, 0.0]"
25735.0,"[-8483.37593412009, 2518.2978019434654, 0.0]","[-3.2105769388467875, -3.209547346136055, 0.0]","[0.004881394919707126, -0.0014514334187673832, 0.0]"
25735.0,"[-8486.586511058937, 2515.0882545973295, 0.0]","[-3.205697282298088, -3.2109958674309205, 0.0]","[0.004879656548699704, -0.0014485212948653682, 0.0]"
25735.0,"[-8489.792208341234, 2511.8772587298986, 0.0]","[-3.2008193606845645, -3.212441481138386, 0.0]","[0.004877921613523318, -0.0014456137074656387, 0.0]"
25735.0,"[-8492.99302770192, 2508.6648172487603, 0.0]","[-3.1959431705752697, -3.213884191781718, 0.0]","[0.004876190109294993, -0.0014427106433317115, 0.0]"
25735.0,"[-8496.188970872494, 2505.4509330569786, 0.0]","[-3.191068708544126, -3.2153240038709856, 0.0]","[0.004874462031143496, -0.001439812089268018, 0.0]"
25735.0,"[-8499.380039581038, 2502.2356090531075, 0.0]","[-3.1861959711699166, -3.2167609219031053, 0.0]","[0.004872737374209339, -0.0014369180321197447, 0.0]"
25735.0,"[-8502.566235552207, 2499.0188481312043, 0.0]","[-3.181324955036272, -3.218194950361878, 0.0]","[0.004871016133644721, -0.0014340284587726578, 0.0]"
25735.0,"[-8505.747560507243, 2495.8006531808423, 0.0]","[-3.176455656731658, -3.219626093718031, 0.0]","[0.004869298304613538, -0.0014311433561529506, 0.0]"
25735.0,"[-8508.924016163975, 2492.5810270871243, 0.0]","[-3.171588072849367, -3.221054356429258, 0.0]","[0.004867583882291344, -0.0014282627112270725, 0.0]"
25735.0,"[-8512.095604236825, 2489.359972730695, 0.0]","[-3.1667221999875017, -3.22247974294026, 0.0]","[0.004865872861865332, -0.0014253865110015703, 0.0]"
25735.0,"[-8515.262326436812, 2486.1374929877547, 0.0]","[-3.1618580347489673, -3.223902257682783, 0.0]","[0.004864165238534317, -0.0014225147425229255, 0.0]"
25735.0,"[-8518.424184471562, 2482.913590730072, 0.0]","[-3.1569955737414586, -3.2253219050756603, 0.0]","[0.004862461007508716, -0.0014196473928773964, 0.0]"
25735.0,"[-8521.581180045303, 2479.688268824996, 0.0]","[-3.152134813577448, -3.226738689524851, 0.0]","[0.004860760164010504, -0.0014167844491908502, 0.0]"
25735.0,"[-8524.73331485888, 2476.461530135471, 0.0]","[-3.1472757508741744, -3.22815261542348, 0.0]","[0.004859062703273226, -0.0014139258986286117, 0.0]"
25735.0,"[-8527.880590609755, 2473.2333775200477, 0.0]","[-3.1424183822536325, -3.229563687151875, 0.0]","[0.004857368620541953, -0.0014110717283953016, 0.0]"
25735.0,"[-8531.023008992008, 2470.003813832896, 0.0]","[-3.1375627043425593, -3.23097190907761, 0.0]","[0.004855677911073261, -0.0014082219257346765, 0.0]"
25735.0,"[-8534.16057169635, 2466.7728419238183, 0.0]","[-3.1327087137724243, -3.2323772855555393, 0.0]","[0.004853990570135223, -0.0014053764779294738, 0.0]"
25735.0,"[-8537.293280410122, 2463.5404646382626, 0.0]","[-3.127856407179417, -3.2337798209278406, 0.0]","[0.004852306593007366, -0.0014025353723012544, 0.0]"
25735.0,"[-8540.421136817302, 2460.306684817335, 0.0]","[-3.1230057812044363, -3.235179519524051, 0.0]","[0.004850625974980676, -0.001399698596210247, 0.0]"
25735.0,"[-8543.544142598506, 2457.0715052978107, 0.0]","[-3.118156832493079, -3.236576385661106, 0.0]","[0.004848948711357553, -0.001396866137055193, 0.0]"
25735.0,"[-8546.662299431, 2453.8349289121497, 0.0]","[-3.113309557695627, -3.2379704236433793, 0.0]","[0.004847274797451796, -0.0013940379822731898, 0.0]"
25735.0,"[-8549.775608988695, 2450.5969584885065, 0.0]","[-3.1084639534670386, -3.239361637762719, 0.0]","[0.004845604228588588, -0.0013912141193395398, 0.0]"
25735.0,"[-8552.884072942163, 2447.357596850744, 0.0]","[-3.1036200164669343, -3.2407500322984863, 0.0]","[0.004843937000104476, -0.0013883945357675985, 0.0]"
25735.0,"[-8555.98769295863, 2444.1168468184455, 0.0]","[-3.098777743359587, -3.242135611517595, 0.0]","[0.004842273107347331, -0.0013855792191086146, 0.0]"
25735.0,"[-8559.08647070199, 2440.874711206928, 0.0]","[-3.0939371308139108, -3.2435183796745464, 0.0]","[0.004840612545676346, -0.0013827681569515869, 0.0]"
25735.0,"[-8562.180407832804, 2437.6311928272535, 0.0]","[-3.0890981755034486, -3.2448983410114693, 0.0]","[0.004838955310462011, -0.0013799613369231086, 0.0]"
25735.0,"[-8565.269506008308, 2434.386294486242, 0.0]","[-3.0842608741063624, -3.2462754997581564, 0.0]","[0.004837301397086087, -0.0013771587466872178, 0.0]"
25735.0,"[-8568.353766882414, 2431.140018986484, 0.0]","[-3.079425223305421, -3.2476498601321016, 0.0]","[0.004835650800941571, -0.0013743603739452448, 0.0]"
25735.0,"[-8571.43319210572, 2427.8923691263517, 0.0]","[-3.074591219787988, -3.2490214263385373, 0.0]","[0.004834003517432712, -0.001371566206435669, 0.0]"
25735.0,"[-8574.507783325507, 2424.6433477000132, 0.0]","[-3.0697588602460133, -3.2503902025704714, 0.0]","[0.004832359541974956, -0.0013687762319339665, 0.0]"
25735.0,"[-8577.577542185752, 2421.3929574974427, 0.0]","[-3.0649281413760185, -3.251756193008724, 0.0]","[0.004830718869994927, -0.00136599043825246, 0.0]"
25735.0,"[-8580.642470327128, 2418.141201304434, 0.0]","[-3.060099059879088, -3.253119401821964, 0.0]","[0.004829081496930435, -0.0013632088132401786, 0.0]"
25735.0,"[-8583.702569387007, 2414.888081902612, 0.0]","[-3.0552716124608574, -3.2544798331667466, 0.0]","[0.004827447418230415, -0.0013604313447827035, 0.0]"
25735.0,"[-8586.757840999468, 2411.6336020694453, 0.0]","[-3.0504457958315023, -3.2558374911875485, 0.0]","[0.004825816629354934, -0.0013576580208020264, 0.0]"
25735.0,"[-8589.8082867953, 2408.377764578258, 0.0]","[-3.045621606705727, -3.257192380016805, 0.0]","[0.004824189125775157, -0.0013548888292564032, 0.0]"
25735.0,"[-8592.853908402005, 2405.120572198241, 0.0]","[-3.040799041802754, -3.2585445037749454, 0.0]","[0.004822564902973329, -0.0013521237581402116, 0.0]"
25735.0,"[-8595.894707443807, 2401.862027694466, 0.0]","[-3.035978097846311, -3.259893866570429, 0.0]","[0.004820943956442765, -0.0013493627954838045, 0.0]"
25735.0,"[-8598.930685541654, 2398.6021338278956, 0.0]","[-3.0311587715646233, -3.2612404724997823, 0.0]","[0.004819326281687803, -0.0013466059293533665, 0.0]"
25735.0,"[-8601.961844313219, 2395.340893355396, 0.0]","[-3.0263410596903997, -3.2625843256476332, 0.0]","[0.0048177118742238, -0.0013438531478507695, 0.0]"
25735.0,"[-8604.98818537291, 2392.078309029748, 0.0]","[-3.0215249589608226, -3.2639254300867466, 0.0]","[0.0048161007295771194, -0.0013411044391134388, 0.0]"
25735.0,"[-8608.00971033187, 2388.8143835996616, 0.0]","[-3.0167104661175377, -3.2652637898780608, 0.0]","[0.004814492843285095, -0.0013383597913142024, 0.0]"
25735.0,"[-8611.026420797987, 2385.5491198097834, 0.0]","[-3.0118975779066415, -3.266599409070722, 0.0]","[0.004812888210896005, -0.001335619192661154, 0.0]"
25735.0,"[-8614.038318375893, 2382.2825204007127, 0.0]","[-3.0070862910786724, -3.2679322917021194, 0.0]","[0.004811286827969075, -0.0013328826313975131, 0.0]"
25735.0,"[-8617.045404666971, 2379.0145881090107, 0.0]","[-3.002276602388598, -3.269262441797921, 0.0]","[0.004809688690074429, -0.0013301500958014835, 0.0]"
25735.0,"[-8620.04768126936, 2375.745325667213, 0.0]","[-2.9974685085958046, -3.270589863372107, 0.0]","[0.004808093792793093, -0.0013274215741861176, 0.0]"
25735.0,"[-8623.045149777956, 2372.4747358038408, 0.0]","[-2.9926620064640876, -3.271914560427006, 0.0]","[0.004806502131716956, -0.0013246970548991734, 0.0]"
25735.0,"[-8626.03781178442, 2369.202821243414, 0.0]","[-2.987857092761639, -3.2732365369533287, 0.0]","[0.0048049137024487616, -0.0013219765263229825, 0.0]"
25735.0,"[-8629.02566887718, 2365.9295847064604, 0.0]","[-2.9830537642610366, -3.274555796930203, 0.0]","[0.0048033285006020745, -0.0013192599768743064, 0.0]"
25735.0,"[-8632.008722641442, 2362.6550289095303, 0.0]","[-2.9782520177392353, -3.275872344325207, 0.0]","[0.004801746521801277, -0.0013165473950042057, 0.0]"
25735.0,"[-8634.986974659181, 2359.379156565205, 0.0]","[-2.973451849977554, -3.277186183094405, 0.0]","[0.004800167761681529, -0.0013138387691979, 0.0]"
25735.0,"[-8637.960426509158, 2356.1019703821107, 0.0]","[-2.968653257761665, -3.2784973171823797, 0.0]","[0.004798592215888759, -0.001311134087974634, 0.0]"
25735.0,"[-8640.92907976692, 2352.8234730649283, 0.0]","[-2.9638562378815854, -3.279805750522267, 0.0]","[0.004797019880079647, -0.001308433339887545, 0.0]"
25735.0,"[-8643.892936004802, 2349.543667314406, 0.0]","[-2.959060787131664, -3.2811114870357905, 0.0]","[0.004795450749921586, -0.0013057365135235232, 0.0]"
25735.0,"[-8646.851996791935, 2346.26255582737, 0.0]","[-2.954266902310571, -3.2824145306332935, 0.0]","[0.004793884821092689, -0.0013030435975030837, 0.0]"
25735.0,"[-8649.806263694245, 2342.9801412967367, 0.0]","[-2.9494745802212896, -3.2837148852137736, 0.0]","[0.004792322089281737, -0.00130035458048023, 0.0]"
25735.0,"[-8652.755738274467, 2339.696426411523, 0.0]","[-2.9446838176711014, -3.285012554664916, 0.0]","[0.004790762550188186, -0.001297669451142324, 0.0]"
25735.0,"[-8655.700422092139, 2336.4114138568584, 0.0]","[-2.9398946114715794, -3.286307542863126, 0.0]","[0.004789206199522122, -0.0012949881982099482, 0.0]"
25735.0,"[-8658.640316703611, 2333.1251063139953, 0.0]","[-2.935106958438575, -3.2875998536735627, 0.0]","[0.004787653033004267, -0.001292310810436785, 0.0]"
25735.0,"[-8661.57542366205, 2329.8375064603215, 0.0]","[-2.930320855392209, -3.2888894909501722, 0.0]","[0.004786103046365935, -0.0012896372766094746, 0.0]"
25735.0,"[-8664.505744517443, 2326.5486169693713, 0.0]","[-2.92553629915686, -3.29017645853572, 0.0]","[0.004784556235349026, -0.0012869675855474926, 0.0]"
25735.0,"[-8667.4312808166, 2323.2584405108355, 0.0]","[-2.920753286561154, -3.2914607602618227, 0.0]","[0.004783012595705999, -0.0012843017261030176, 0.0]"
25735.0,"[-8670.35203410316, 2319.9669797505735, 0.0]","[-2.915971814437954, -3.2927423999489833, 0.0]","[0.00478147212319985, -0.0012816396871607996, 0.0]"
25735.0,"[-8673.268005917598, 2316.6742373506245, 0.0]","[-2.91119187962435, -3.2940213814066213, 0.0]","[0.004779934813604102, -0.0012789814576380368, 0.0]"
25735.0,"[-8676.179197797223, 2313.3802159692177, 0.0]","[-2.906413478961647, -3.2952977084331057, 0.0]","[0.004778400662702772, -0.0012763270264842441, 0.0]"
25735.0,"[-8679.085611276185, 2310.0849182607844, 0.0]","[-2.9016366092953567, -3.296571384815787, 0.0]","[0.004776869666290358, -0.001273676382681125, 0.0]"
25735.0,"[-8681.98724788548, 2306.7883468759687, 0.0]","[-2.896861267475185, -3.297842414331029, 0.0]","[0.004775341820171817, -0.0012710295152424467, 0.0]"
25735.0,"[-8684.884109152954, 2303.4905044616376, 0.0]","[-2.8920874503550227, -3.299110800744243, 0.0]","[0.004773817120162552, -0.0012683864132139162, 0.0]"
25735.0,"[-8687.776196603309, 2300.1913936608935, 0.0]","[-2.887315154792934, -3.300376547809916, 0.0]","[0.004772295562088374, -0.0012657470656730462, 0.0]"
25735.0,"[-8690.6635117581, 2296.8910171130838, 0.0]","[-2.882544377651149, -3.301639659271645, 0.0]","[0.004770777141785496, -0.0012631114617290382, 0.0]"
25735.0,"[-8693.546056135752, 2293.589377453812, 0.0]","[-2.877775115796048, -3.3029001388621677, 0.0]","[0.00476926185510052, -0.0012604795905226554, 0.0]"
25735.0,"[-8696.423831251548, 2290.28647731495, 0.0]","[-2.873007366098158, -3.304157990303394, 0.0]","[0.00476774969789039, -0.001257851441226095, 0.0]"
25735.0,"[-8699.296838617647, 2286.9823193246466, 0.0]","[-2.8682411254321356, -3.305413217306437, 0.0]","[0.004766240666022404, -0.0012552270030428711, 0.0]"
25735.0,"[-8702.16507974308, 2283.67690610734, 0.0]","[-2.8634763906767615, -3.306665823571645, 0.0]","[0.004764734755374162, -0.0012526062652076827, 0.0]"
25735.0,"[-8705.028556133757, 2280.3702402837685, 0.0]","[-2.858713158714928, -3.307915812788631, 0.0]","[0.004763231961833587, -0.001249989216986303, 0.0]"
25735.0,"[-8707.887269292472, 2277.06232447098, 0.0]","[-2.853951426433629, -3.3091631886363064, 0.0]","[0.004761732281298856, -0.0012473758476754437, 0.0]"
25735.0,"[-8710.741220718906, 2273.7531612823436, 0.0]","[-2.8491911907239507, -3.3104079547829093, 0.0]","[0.00476023570967842, -0.0012447661466026456, 0.0]"
25735.0,"[-8713.59041190963, 2270.4427533275607, 0.0]","[-2.8444324484810597, -3.3116501148860356, 0.0]","[0.0047587422428909685, -0.0012421601031261506, 0.0]"
25735.0,"[-8716.434844358111, 2267.1311032126746, 0.0]","[-2.8396751966041944, -3.31288967259267, 0.0]","[0.004757251876865404, -0.0012395577066347814, 0.0]"
25735.0,"[-8719.274519554716, 2263.818213540082, 0.0]","[-2.8349194319966537, -3.314126631539218, 0.0]","[0.004755764607540836, -0.001236958946547825, 0.0]"
25735.0,"[-8722.109438986712, 2260.504086908543, 0.0]","[-2.830165151565787, -3.3153609953515333, 0.0]","[0.004754280430866545, -0.0012343638123149094, 0.0]"
25735.0,"[-8724.939604138279, 2257.1887259131913, 0.0]","[-2.825412352222985, -3.3165927676449494, 0.0]","[0.004752799342801977, -0.0012317722934158876, 0.0]"
25735.0,"[-8727.765016490503, 2253.8721331455463, 0.0]","[-2.8206610308836684, -3.31782195202431, 0.0]","[0.004751321339316726, -0.001229184379360719, 0.0]"
25735.0,"[-8730.585677521387, 2250.554311193522, 0.0]","[-2.8159111844672777, -3.3190485520839994, 0.0]","[0.004749846416390496, -0.001226600059689348, 0.0]"
25735.0,"[-8733.401588705854, 2247.235262641438, 0.0]","[-2.8111628098972647, -3.320272571407971, 0.0]","[0.004748374570013091, -0.0012240193239715896, 0.0]"
25735.0,"[-8736.212751515752, 2243.91499007003, 0.0]","[-2.8064159041010805, -3.3214940135697777, 0.0]","[0.0047469057961844145, -0.0012214421618070139, 0.0]"
25735.0,"[-8739.019167419852, 2240.59349605646, 0.0]","[-2.801670464010166, -3.3227128821326026, 0.0]","[0.004745440090914415, -0.001218868562824825, 0.0]"
25735.0,"[-8741.820837883863, 2237.2707831743273, 0.0]","[-2.796926486559943, -3.3239291806492863, 0.0]","[0.004743977450223089, -0.0012162985166837479, 0.0]"
25735.0,"[-8744.617764370423, 2233.946853993678, 0.0]","[-2.7921839686898027, -3.325142912662358, 0.0]","[0.004742517870140455, -0.0012137320130719122, 0.0]"
25735.0,"[-8747.409948339113, 2230.6217110810157, 0.0]","[-2.787442907343096, -3.326354081704065, 0.0]","[0.0047410613467065415, -0.0012111690417067388, 0.0]"
25735.0,"[-8750.197391246456, 2227.2953569993115, 0.0]","[-2.782703299467125, -3.3275626912964, 0.0]","[0.00473960787597136, -0.0012086095923348238, 0.0]"
25735.0,"[-8752.980094545923, 2223.967794308015, 0.0]","[-2.77796514201313, -3.328768744951132, 0.0]","[0.004738157453994881, -0.001206053654731823, 0.0]"
25735.0,"[-8755.758059687936, 2220.639025563064, 0.0]","[-2.773228431936283, -3.3299722461698344, 0.0]","[0.004736710076847034, -0.0012035012187023423, 0.0]"
25735.0,"[-8758.531288119872, 2217.3090533168943, 0.0]","[-2.7684931661956758, -3.3311731984439144, 0.0]","[0.004735265740607668, -0.0012009522740798215, 0.0]"
25735.0,"[-8761.299781286067, 2213.9778801184502, 0.0]","[-2.763759341754309, -3.332371605254641, 0.0]","[0.004733824441366533, -0.0011984068107264213, 0.0]"
25735.0,"[-8764.063540627822, 2210.6455085131956, 0.0]","[-2.759026955579086, -3.3335674700731737, 0.0]","[0.004732386175223279, -0.0011958648185329136, 0.0]"
25735.0,"[-8766.8225675834, 2207.3119410431223, 0.0]","[-2.7542960046407985, -3.3347607963605923, 0.0]","[0.004730950938287424, -0.0011933262874185694, 0.0]"
25735.0,"[-8769.576863588041, 2203.9771802467617, 0.0]","[-2.7495664859141202, -3.3359515875679233, 0.0]","[0.004729518726678334, -0.001190791207331046, 0.0]"
25735.0,"[-8772.326430073956, 2200.641228659194, 0.0]","[-2.744838396377595, -3.3371398471361697, 0.0]","[0.004728089536525204, -0.0011882595682462759, 0.0]"
25735.0,"[-8775.071268470334, 2197.3040888120577, 0.0]","[-2.7401117330136278, -3.338325578496338, 0.0]","[0.0047266633639670465, -0.0011857313601683606, 0.0]"
25735.0,"[-8777.811380203348, 2193.965763233561, 0.0]","[-2.735386492808475, -3.3395087850694676, 0.0]","[0.004725240205152664, -0.001183206573129455, 0.0]"
25735.0,"[-8780.546766696156, 2190.6262544484916, 0.0]","[-2.7306626727522345, -3.3406894702666574, 0.0]","[0.004723820056240638, -0.0011806851971896631, 0.0]"
25735.0,"[-8783.277429368907, 2187.285564978225, 0.0]","[-2.7259402698388353, -3.3418676374890945, 0.0]","[0.004722402913399304, -0.0011781672224369273, 0.0]"
25735.0,"[-8786.003369638745, 2183.943697340736, 0.0]","[-2.7212192810660287, -3.3430432901280813, 0.0]","[0.004720988772806728, -0.0011756526389869178, 0.0]"
25735.0,"[-8788.724588919811, 2180.600654050608, 0.0]","[-2.716499703435378, -3.3442164315650644, 0.0]","[0.004719577630650703, -0.0011731414369829276, 0.0]"
25735.0,"[-8791.441088623247, 2177.2564376190426, 0.0]","[-2.7117815339522493, -3.34538706517166, 0.0]","[0.004718169483128719, -0.0011706336065957649, 0.0]"
25735.0,"[-8794.152870157199, 2173.911050553871, 0.0]","[-2.7070647696258012, -3.346555194309684, 0.0]","[0.004716764326447939, -0.0011681291380236422, 0.0]"
25735.0,"[-8796.859934926824, 2170.5644953595615, 0.0]","[-2.7023494074689762, -3.347720822331176, 0.0]","[0.004715362156825206, -0.0011656280214920776, 0.0]"
25735.0,"[-8799.562284334294, 2167.2167745372303, 0.0]","[-2.697635444498489, -3.3488839525784297, 0.0]","[0.0047139629704869845, -0.0011631302472537772, 0.0]"
25735.0,"[-8802.259919778791, 2163.867890584652, 0.0]","[-2.6929228777348198, -3.3500445883840184, 0.0]","[0.004712566763669379, -0.0011606358055885411, 0.0]"
25735.0,"[-8804.952842656527, 2160.5178459962676, 0.0]","[-2.688211704202202, -3.3512027330708216, 0.0]","[0.004711173532618093, -0.0011581446868031496, 0.0]"
25735.0,"[-8807.641054360729, 2157.166643263197, 0.0]","[-2.6835019209286135, -3.352358389952053, 0.0]","[0.004709783273588416, -0.0011556568812312615, 0.0]"
25735.0,"[-8810.324556281657, 2153.814284873245, 0.0]","[-2.6787935249457684, -3.3535115623312866, 0.0]","[0.004708395982845214, -0.0011531723792333115, 0.0]"
25735.0,"[-8813.003349806602, 2150.4607733109137, 0.0]","[-2.6740865132891054, -3.354662253502483, 0.0]","[0.004707011656662898, -0.0011506911711964033, 0.0]"
25735.0,"[-8815.677436319891, 2147.1061110574115, 0.0]","[-2.66938088299778, -3.355810466750017, 0.0]","[0.004705630291325417, -0.0011482132475342075, 0.0]"
25735.0,"[-8818.34681720289, 2143.7503005906615, 0.0]","[-2.664676631114654, -3.3569562053487036, 0.0]","[0.00470425188312622, -0.0011457385986868558, 0.0]"
25735.0,"[-8821.011493834005, 2140.393344385313, 0.0]","[-2.659973754686286, -3.3580994725638247, 0.0]","[0.004702876428368266, -0.0011432672151208423, 0.0]"
25735.0,"[-8823.67146758869, 2137.035244912749, 0.0]","[-2.655272250762922, -3.359240271651154, 0.0]","[0.0047015039233639835, -0.0011407990873289196, 0.0]"
25735.0,"[-8826.326739839453, 2133.6760046410977, 0.0]","[-2.6505721163984868, -3.360378605856984, 0.0]","[0.0047001343644352675, -0.0011383342058299973, 0.0]"
25735.0,"[-8828.97731195585, 2130.3156260352407, 0.0]","[-2.645873348650573, -3.361514478418153, 0.0]","[0.0046987677479134425, -0.0011358725611690377, 0.0]"
25735.0,"[-8831.623185304501, 2126.9541115568227, 0.0]","[-2.641175944580434, -3.36264789256207, 0.0]","[0.0046974040701392595, -0.001133414143916958, 0.0]"
25735.0,"[-8834.264361249081, 2123.5914636642606, 0.0]","[-2.636479901252971, -3.3637788515067406, 0.0]","[0.00469604332746288, -0.0011309589446705296, 0.0]"
25735.0,"[-8836.900841150335, 2120.227684812754, 0.0]","[-2.631785215736727, -3.3649073584607927, 0.0]","[0.0046946855162438425, -0.0011285069540522758, 0.0]"
25735.0,"[-8839.532626366072, 2116.8627774542933, 0.0]","[-2.627091885103876, -3.366033416623503, 0.0]","[0.004693330632851058, -0.0011260581627103737, 0.0]"
25735.0,"[-8842.159718251176, 2113.49674403767, 0.0]","[-2.6223999064302133, -3.367157029184822, 0.0]","[0.004691978673662789, -0.0011236125613185552, 0.0]"
25735.0,"[-8844.782118157606, 2110.129587008485, 0.0]","[-2.6177092767951464, -3.368278199325398, 0.0]","[0.004690629635066628, -0.0011211701405760054, 0.0]"
25735.0,"[-8847.399827434401, 2106.76130880916, 0.0]","[-2.613019993281687, -3.369396930216605, 0.0]","[0.0046892835134594805, -0.0011187308912072671, 0.0]"
25735.0,"[-8850.012847427683, 2103.391911878943, 0.0]","[-2.6083320529764396, -3.3705132250205674, 0.0]","[0.004687940305247552, -0.0011162948039621417, 0.0]"
25735.0,"[-8852.621179480659, 2100.0213986539225, 0.0]","[-2.603645452969593, -3.3716270868901828, 0.0]","[0.004686600006846319, -0.0011138618696155888, 0.0]"
25735.0,"[-8855.224824933628, 2096.649771567032, 0.0]","[-2.5989601903549127, -3.3727385189691503, 0.0]","[0.004685262614680524, -0.001111432078967633, 0.0]"
25735.0,"[-8857.823785123983, 2093.277033048063, 0.0]","[-2.5942762622297284, -3.3738475243919934, 0.0]","[0.004683928125184156, -0.0011090054228432662, 0.0]"
25735.0,"[-8860.418061386212, 2089.903185523671, 0.0]","[-2.589593665694928, -3.3749541062840858, 0.0]","[0.004682596534800417, -0.001106581892092346, 0.0]"
25735.0,"[-8863.007655051906, 2086.528231417387, 0.0]","[-2.584912397854946, -3.376058267761675, 0.0]","[0.004681267839981731, -0.0011041614775895085, 0.0]"
25735.0,"[-8865.592567449761, 2083.152173149625, 0.0]","[-2.580232455817756, -3.377160011931909, 0.0]","[0.004679942037189697, -0.0011017441702340625, 0.0]"
25735.0,"[-8868.172799905578, 2079.775013137693, 0.0]","[-2.575553836694861, -3.3782593418928593, 0.0]","[0.004678619122895092, -0.001099329960949901, 0.0]"
25735.0,"[-8870.748353742274, 2076.3967537958, 0.0]","[-2.570876537601283, -3.3793562607335446, 0.0]","[0.004677299093577855, -0.0010969188406854066, 0.0]"
25735.0,"[-8873.319230279876, 2073.0173975350667, 0.0]","[-2.566200555655556, -3.380450771533958, 0.0]","[0.004675981945727044, -0.00109451080041335, 0.0]"
25735.0,"[-8875.885430835531, 2069.6369467635327, 0.0]","[-2.561525887979715, -3.3815428773650886, 0.0]","[0.0046746676758408524, -0.0010921058311308036, 0.0]"
25735.0,"[-8878.44695672351, 2066.2554038861676, 0.0]","[-2.5568525316992887, -3.3826325812889477, 0.0]","[0.00467335628042657, -0.0010897039238590438, 0.0]"
25735.0,"[-8881.00380925521, 2062.872771304879, 0.0]","[-2.552180483943288, -3.383719886358591, 0.0]","[0.00467204775600057, -0.001087305069643457, 0.0]"
25735.0,"[-8883.555989739152, 2059.4890514185204, 0.0]","[-2.5475097418441996, -3.3848047956181446, 0.0]","[0.004670742099088289, -0.0010849092595534484, 0.0]"
25735.0,"[-8886.103499480996, 2056.1042466229023, 0.0]","[-2.5428403025379755, -3.385887312102827, 0.0]","[0.0046694393062242205, -0.001082516484682348, 0.0]"
25735.0,"[-8888.646339783534, 2052.7183593107993, 0.0]","[-2.5381721631640235, -3.3869674388389743, 0.0]","[0.00466813937395188, -0.0010801267361473178, 0.0]"
25735.0,"[-8891.184511946698, 2049.3313918719605, 0.0]","[-2.5335053208651996, -3.3880451788440635, 0.0]","[0.004666842298823815, -0.0010777400050892639, 0.0]"
25735.0,"[-8893.718017267563, 2045.9433466931164, 0.0]","[-2.5288397727877983, -3.3891205351267364, 0.0]","[0.004665548077401547, -0.0010753562826727378, 0.0]"
25735.0,"[-8896.24685704035, 2042.5542261579897, 0.0]","[-2.5241755160815424, -3.390193510686822, 0.0]","[0.004664256706255599, -0.0010729755600858515, 0.0]"
25735.0,"[-8898.771032556433, 2039.1640326473027, 0.0]","[-2.519512547899577, -3.3912641085153625, 0.0]","[0.004662968181965445, -0.0010705978285401845, 0.0]"
25735.0,"[-8901.290545104333, 2035.7727685387874, 0.0]","[-2.5148508653984574, -3.392332331594633, 0.0]","[0.00466168250111951, -0.0010682230792706904, 0.0]"
25735.0,"[-8903.805395969732, 2032.3804362071928, 0.0]","[-2.5101904657381424, -3.393398182898169, 0.0]","[0.004660399660315146, -0.0010658513035356125, 0.0]"
25735.0,"[-8906.31558643547, 2028.9870380242946, 0.0]","[-2.505531346081984, -3.3944616653907853, 0.0]","[0.004659119656158623, -0.0010634824926163905, 0.0]"
